2016-06-22,Business,Why LinkedIn is worth $26 billion to Microsoft,vox,Timothy B. Lee,http://www.vox.com/2016/6/13/11920856/linkedin-microsoft-deal-explained
2016-06-22,Business,Twilio Raises More Than Expected in IPOTwilio Raises More Than Expected in IPO,wsj,Corrie Driebusch,http://www.wsj.com/articles/twilio-ipo-tests-markets-appetite-for-tech-companies-1466606076
2016-06-23,Business,Testing the Clean-Energy Logic of a Tesla-SolarCity Merger,nytimes,Diane Cardwell,http://www.nytimes.com/2016/06/24/business/energy-environment/testing-the-clean-energy-logic-of-a-tesla-solarcity-merger.html
2016-06-22,Design,Dieter Rams Is Finally Getting The Feature Film He Deserves,fastcodesign,Meg Miller,http://www.fastcodesign.com/3061113/dieter-rams-to-finally-get-the-documentary-he-deserves
2016-06-22,Design,The Future Of Branding Is Debranding,fastcodesign,Jasmine de Bruycker,http://www.fastcodesign.com/3060658/the-future-of-branding-is-debranding
2016-06-08,Health,Maybe Just Don't Drink Coffee  ,eater,Matt Buchanan,http://www.eater.com/2016/6/8/11883828/dont-drink-coffee-single-origin-beans-aeropress-starbucks
2016-06-22,Health,4 fixes for the astonishing lack of vegetables in the American diet,vox,Julia Belluz,http://www.vox.com/2016/6/23/11975438/americans-eat-more-vegetables
2016-06-22,Science,How scientists could patent the genetic blueprint for a human,theverge,Arielle Duhaime-Ross,http://www.theverge.com/2016/6/23/12005892/synthetic-human-genome-patent-hgp-ethics-controversy
2016-06-23,Tech,Boston Dynamics made a giraffe robot,theverge,Colin Lecher,http://www.theverge.com/2016/6/23/12014008/boston-dynamics-spotmini-alphabet-giraffe-spot-robot
2016-06-23,Tech,The future of big rigs could lie in these overhead wires,theverge,Chris Ziegler,http://www.theverge.com/2016/6/23/12019754/siemens-ehighway-semi-truck-big-rig-wire-system
2016-06-22,Tech,These are the thinnest laptops in the world,businessinsider,Jeff Dunn,http://www.businessinsider.com/thinnest-laptops-available-today-2016-6
2016-06-22,Tech,This smart helmet could revolutionize your bike ride,techinsider,Gene Kim,http://www.techinsider.io/smart-helmet-design-safer-ride-2016-6
2016-06-22,Tech,There Is No Such Thing as Private Data,atlantic,Kaveh Waddell,http://www.theatlantic.com/technology/archive/2016/06/there-is-no-such-thing-as-private-data/487274/